iter	Passed	Remaining
0	2	202
1	3	185
2	5	169
3	6	164
4	8	159
5	9	155
6	11	153
7	13	152
8	14	151
9	16	149
10	18	147
11	19	145
12	21	143
13	23	143
14	25	142
15	26	140
16	28	137
17	29	135
18	31	134
19	33	132
20	34	131
21	36	129
22	38	127
23	39	126
24	41	124
25	43	122
26	44	121
27	46	119
28	48	118
29	50	117
30	52	115
31	53	113
32	54	111
33	56	109
34	58	107
35	59	106
36	61	104
37	63	102
38	64	101
39	66	99
40	68	98
41	69	96
42	71	94
43	72	92
44	74	90
45	75	89
46	77	87
47	79	85
48	80	84
49	82	82
50	84	80
51	85	79
52	86	77
53	88	75
54	90	73
55	91	72
56	93	70
57	95	68
58	96	67
59	98	65
60	100	64
61	101	62
62	103	60
63	104	59
64	106	57
65	108	55
66	109	54
67	111	52
68	113	50
69	114	49
70	116	47
71	118	46
72	120	44
73	122	42
74	123	41
75	125	39
76	126	37
77	128	36
78	130	34
79	131	32
80	133	31
81	135	29
82	136	28
83	138	26
84	140	24
85	142	23
86	144	21
87	145	19
88	147	18
89	149	16
90	150	14
91	152	13
92	154	11
93	156	9
94	157	8
95	159	6
96	161	4
97	162	3
98	164	1
99	166	0
